기준년도,시도명,시군구명,읍면동명,면적(㎢),세대수,인구수
2024,경기도,이천시,모가면,40.99,2247,4070
2024,경기도,이천시,설성면,51.7,2454,4392
2024,경기도,이천시,율면,36.77,1432,2505
2024,경기도,이천시,창전동,1.13,8410,15664
2024,경기도,이천시,증포동,8.9,21264,56504
2024,경기도,이천시,중리동,22.06,8873,15301
2024,경기도,이천시,관고동,7.76,5160,10385
2024,경기도,구리시,,33.34,81288,186882
2024,경기도,구리시,갈매동,3.97,12450,30406
2024,경기도,구리시,동구동,7.38,13670,35388
2024,경기도,구리시,인창동,2.04,9824,23686
2024,경기도,구리시,교문1동,7.56,7874,14696
2024,경기도,구리시,교문2동,1.15,7908,20865
2024,경기도,구리시,수택1동,1.26,8346,16630
2024,경기도,구리시,수택2동,0.62,11811,24190
2024,경기도,구리시,수택3동,9.35,9405,21021
2024,경기도,안성시,,553.51,94809,193949
2024,경기도,안성시,공도읍,31.93,29672,66154
2024,경기도,안성시,보개면,53.0,2514,4945
2024,경기도,안성시,금광면,71.64,3625,6993
2024,경기도,안성시,서운면,36.35,1580,3002
2024,경기도,안성시,미양면,33.63,2946,5402
2024,경기도,안성시,대덕면,31.18,8226,14424
2024,경기도,안성시,양성면,53.15,2659,5013
2024,경기도,안성시,원곡면,37.91,3519,6271
2024,경기도,안성시,일죽면,55.56,3795,7027
2024,경기도,안성시,죽산면,57.28,3732,6567
2024,경기도,안성시,삼죽면,39.12,2226,3610
2024,경기도,안성시,고삼면,27.79,1029,1833
2024,경기도,안성시,안성1동,6.55,5559,11315
2024,경기도,안성시,안성2동,10.14,12614,26330
2024,경기도,안성시,안성3동,8.27,11113,25063
2024,경기도,포천시,,827.23,73071,141463
2024,경기도,포천시,소흘읍,46.28,19621,42483
2024,경기도,포천시,군내면,36.17,4993,9845
2024,경기도,광주시,곤지암읍,76.17,11147,21474
2024,경기도,광주시,도척면,52.16,4992,9096
2024,경기도,광주시,퇴촌면,60.7,7564,15543
2024,경기도,광주시,남종면,48.57,784,1385
2024,경기도,광주시,남한산성면,33.74,1118,2241
2024,경기도,광주시,오포1동,16.02,12122,30058
2024,경기도,광주시,오포2동,15.09,13454,32473
2024,경기도,광주시,신현동,8.14,16724,35708
2024,경기도,광주시,능평동,7.69,10182,22559
2024,경기도,광주시,경안동,3.19,13038,28096
2024,경기도,광주시,쌍령동,3.34,7034,17409
2024,경기도,광주시,송정동,5.09,10188,22818
2024,경기도,광주시,탄벌동,16.79,18068,42275
2024,경기도,광주시,광남1동,26.13,14094,31589
2024,경기도,광주시,광남2동,2.28,11709,33120
2024,경기도,광명시,,38.52,115024,278167
2024,경기도,광명시,광명1동,0.31,99,167
2024,경기도,광명시,광명2동,0.26,1529,2887
2024,경기도,광명시,광명3동,0.32,4846,9523
2024,경기도,광명시,광명4동,0.29,3422,7471
2024,경기도,광명시,광명5동,0.4,5128,11759
2024,경기도,광명시,광명6동,2.44,4657,12030
2024,경기도,광명시,광명7동,2.32,10374,25863
2024,경기도,광명시,철산1동,0.55,3812,10445
2024,경기도,광명시,철산2동,0.64,2834,5099
2024,경기도,광명시,철산3동,1.35,12664,36467
2024,경기도,광명시,철산4동,0.32,3652,9255
2024,경기도,광명시,하안1동,3.92,9820,25015
2024,경기도,광명시,하안2동,0.43,6441,12926
2024,경기도,광명시,하안3동,0.58,8599,18739
2024,경기도,광명시,하안4동,0.42,5020,11675
2024,경기도,광명시,소하1동,3.82,11263,29738
2024,경기도,광명시,소하2동,3.81,10767,25782
2024,경기도,광명시,일직동,3.44,9178,21583
2024,경기도,광명시,학온동,12.9,919,1743
2024,경기도,군포시,,36.42,112293,255931
2024,경기도,군포시,군포1동,3.7,15193,31467
2024,경기도,군포시,군포2동,2.95,16190,41397
2024,경기도,군포시,산본1동,0.75,8294,14480
2024,경기도,군포시,산본2동,1.17,9824,25064
2024,경기도,군포시,금정동,1.26,9713,18961
2024,경기도,군포시,재궁동,0.87,8300,17092
2024,경기도,군포시,오금동,1.07,8625,19999
2024,경기도,군포시,수리동,2.73,6998,15110
2024,경기도,군포시,궁내동,1.68,6908,19561
2024,경기도,군포시,대야동,12.8,3808,9121
2024,경기도,군포시,광정동,1.9,10210,23283
2024,경기도,군포시,송부동,5.54,8230,20396
2024,경기도,하남시,,92.99,141377,329120
2024,경기도,하남시,천현동,34.92,3328,5937
2024,경기도,하남시,신장1동,0.24,3954,6897
2024,경기도,하남시,신장2동,4.12,18872,45130
2024,경기도,하남시,덕풍1동,1.0,6335,14114
2024,경기도,하남시,덕풍2동,0.51,8490,17419
2024,경기도,하남시,덕풍3동,2.01,11713,27608
2024,경기도,하남시,감북동,4.52,1741,3045
2024,경기도,하남시,감일동,5.7,14716,39686
2024,경기도,하남시,위례동,4.77,12220,35297
2024,경기도,하남시,춘궁동,14.49,784,1159
2024,경기도,하남시,초이동,6.13,1784,3068
2024,경기도,하남시,미사1동,6.87,27949,53637
2024,경기도,하남시,미사2동,5.05,18471,46514
2024,경기도,하남시,미사3동,2.66,11020,29609
2024,경기도,오산시,,42.69,111036,242065
2024,경기도,시흥시,배곧1동,2.6,12267,35362
2024,경기도,시흥시,배곧2동,2.3,15637,35554
2024,경기도,시흥시,과림동,7.65,1154,1781
2024,경기도,시흥시,연성동,10.05,9724,23925
2024,경기도,시흥시,능곡동,4.46,10902,26270
2024,경기도,시흥시,월곶동,8.0,8598,17502
2024,경기도,시흥시,장곡동,3.5,18065,46814
2024,경기도,파주시,,673.96,226087,511340
2024,경기도,파주시,문산읍,47.23,22465,48413
2024,경기도,파주시,파주읍,32.27,7586,13612
2024,경기도,파주시,법원읍,71.36,5242,9391
2024,경기도,파주시,조리읍,27.53,12451,27704
2024,경기도,파주시,월롱면,27.14,6095,8253
2024,경기도,파주시,탄현면,61.77,7001,12694
2024,경기도,파주시,광탄면,65.55,5605,10314
2024,경기도,파주시,파평면,39.04,1978,3525
2024,경기도,파주시,적성면,91.75,3483,6625
2024,경기도,파주시,군내면,43.29,237,558
2024,경기도,파주시,장단면,34.73,0,0
2024,경기도,파주시,진동면,43.07,78,161
2024,경기도,파주시,진서면,9.29,0,0
2024,경기도,파주시,교하동,28.44,3792,7131
2024,경기도,파주시,운정1동,5.29,21359,51824
2024,경기도,파주시,운정2동,3.21,24510,63984
2024,경기도,파주시,운정3동,3.9,27065,68374
2024,경기도,파주시,운정4동,6.42,10407,23719
2024,경기도,파주시,운정5동,5.44,20337,53658
2024,경기도,파주시,운정6동,2.92,10948,24957
2024,경기도,파주시,금촌1동,4.52,12108,21073
2024,경기도,파주시,금촌2동,2.72,12754,30613
2024,경기도,파주시,금촌3동,17.02,10586,24757
2024,경기도,의정부시,,81.55,210264,461271
2024,경기도,의정부시,의정부1동,1.95,23496,40063
2024,경기도,의정부시,의정부2동,2.48,16032,29433
2024,경기도,의정부시,호원1동,6.54,15140,33829
2024,경기도,의정부시,호원2동,4.18,13235,32388
2024,경기도,의정부시,장암동,8.94,8205,18567
2024,경기도,의정부시,신곡1동,2.56,17834,41314
2024,경기도,의정부시,신곡2동,2.82,18739,44252
2024,경기도,의정부시,송산1동,4.48,13441,30540
2024,경기도,의정부시,송산2동,1.42,13080,31258
2024,경기도,의정부시,송산3동,9.31,17913,44777
2024,경기도,의정부시,자금동,11.78,11667,25175
2024,경기도,의정부시,가능동,3.97,11932,23654
2024,경기도,의정부시,흥선동,5.74,9401,18694
2024,경기도,의정부시,녹양동,3.81,9043,19423
2024,경기도,의정부시,고산동,11.56,11106,27904
2024,경기도,김포시,,276.6,206388,486853
2024,경기도,김포시,통진읍,29.49,18393,34897
2024,경기도,김포시,고촌읍,25.03,19294,50476
2024,경기도,김포시,양촌읍,33.66,15985,30514
2024,경기도,김포시,대곶면,42.75,5330,9299
2024,경기도,김포시,월곶면,51.96,3086,5165
2024,경기도,김포시,하성면,54.84,4084,7783
2024,경기도,김포시,김포본동,11.8,22386,57881
2024,경기도,김포시,장기본동,2.61,13760,38978
2024,경기도,김포시,사우동,3.3,9481,20996
2024,경기도,김포시,풍무동,4.42,23413,59902
2024,경기도,김포시,장기동,3.61,16003,40517
2024,경기도,김포시,구래동,2.12,21147,45480
2024,경기도,김포시,마산동,3.03,15293,35609
2024,경기도,김포시,운양동,7.98,18733,49356
2024,경기도,광주시,,430.99,174806,397605
2024,경기도,광주시,초월읍,55.89,22588,51761
2024,경기도,안양시 만안구,안양9동,6.42,6984,15937
2024,경기도,안양시 만안구,석수1동,9.23,7509,18656
2024,경기도,안양시 만안구,석수2동,3.4,12457,29280
2024,경기도,안양시 만안구,충훈동,0.7,5343,12056
2024,경기도,안양시 만안구,박달1동,0.93,6748,13756
2024,경기도,안양시 만안구,박달2동,6.95,7568,20461
2024,경기도,안양시 동안구,,21.94,132216,326521
2024,경기도,안양시 동안구,비산1동,1.82,10612,28439
2024,경기도,안양시 동안구,비산2동,0.46,5219,14491
2024,경기도,안양시 동안구,비산3동,5.56,7589,17650
2024,경기도,안양시 동안구,부흥동,0.5,6284,16041
2024,경기도,안양시 동안구,달안동,0.44,5336,9530
2024,경기도,안양시 동안구,관양동,3.2,15307,32683
2024,경기도,안양시 동안구,인덕원동,1.79,8608,17936
2024,경기도,안양시 동안구,부림동,0.86,12500,26070
2024,경기도,안양시 동안구,평촌동,0.82,5026,14078
2024,경기도,안양시 동안구,평안동,0.64,8055,22560
2024,경기도,안양시 동안구,귀인동,0.64,5063,16015
2024,경기도,안양시 동안구,호계1동,1.05,10153,26369
2024,경기도,안양시 동안구,호계2동,1.42,9417,24195
2024,경기도,안양시 동안구,호계3동,0.75,8960,22871
2024,경기도,안양시 동안구,범계동,0.64,5851,15068
2024,경기도,안양시 동안구,신촌동,0.66,4398,12173
2024,경기도,안양시 동안구,갈산동,0.69,3838,10352
2024,경기도,평택시,,458.45,285297,598556
2024,경기도,평택시,팽성읍,56.74,15599,27548
2024,경기도,평택시,안중읍,28.57,19824,43321
2024,경기도,평택시,포승읍,61.3,13626,22758
2024,경기도,평택시,청북읍,52.56,11130,25988
2024,경기도,평택시,진위면,34.03,5958,10725
2024,경기도,평택시,서탄면,28.55,1891,3445
2024,경기도,평택시,고덕면,22.18,6457,12805
2024,경기도,평택시,오성면,32.51,3188,6236
2024,경기도,평택시,현덕면,45.85,3063,5723
2024,경기도,평택시,중앙동,5.3,21760,42765
2024,경기도,평택시,서정동,1.74,13183,24958
2024,경기도,평택시,송탄동,19.55,10237,23498
2024,경기도,평택시,지산동,0.69,7519,12312
2024,경기도,평택시,송북동,7.15,9450,20759
2024,경기도,평택시,신장1동,1.6,3730,6757
2024,경기도,평택시,신장2동,0.63,3069,4910
2024,경기도,평택시,신평동,6.37,11382,19868
2024,경기도,평택시,원평동,5.25,7045,12967
2024,경기도,평택시,통복동,0.56,3006,5272
2024,경기도,평택시,비전1동,13.0,21972,50881
2024,경기도,평택시,비전2동,4.75,22884,56637
2024,경기도,평택시,세교동,7.12,15862,37428
2024,경기도,평택시,용이동,2.64,11312,25758
2024,경기도,평택시,동삭동,3.07,18299,42252
2024,경기도,평택시,고덕동,16.54,23851,52985
2024,경기도,시흥시,,139.94,229340,518132
2024,경기도,시흥시,대야동,9.85,18345,42001
2024,경기도,시흥시,신천동,3.44,16098,33217
2024,경기도,시흥시,신현동,12.65,4298,9074
2024,경기도,시흥시,은행동,3.97,20923,54652
2024,경기도,시흥시,매화동,11.2,5219,11277
2024,경기도,시흥시,목감동,17.57,17291,41009
2024,경기도,시흥시,군자동,8.04,9976,21697
2024,경기도,시흥시,정왕본동,8.32,12170,17871
2024,경기도,시흥시,정왕1동,6.55,12947,20994
2024,경기도,시흥시,정왕2동,4.78,11251,27070
2024,경기도,시흥시,정왕3동,6.23,10930,21517
2024,경기도,시흥시,정왕4동,0.9,7431,19669
2024,경기도,시흥시,거북섬동,6.12,6114,10876
2024,경기도,화성시,동탄1동,5.1,20751,50082
2024,경기도,화성시,동탄2동,2.16,11751,34228
2024,경기도,화성시,동탄3동,2.71,17540,40399
2024,경기도,화성시,동탄4동,4.24,16815,53359
2024,경기도,화성시,동탄5동,11.41,21519,47759
2024,경기도,화성시,동탄6동,9.49,19246,44191
2024,경기도,화성시,동탄7동,4.73,22397,56970
2024,경기도,화성시,동탄8동,6.53,13742,37298
2024,경기도,화성시,동탄9동,9.97,17465,45211
2024,경기도,안산시,,156.47,288070,620579
2024,경기도,안산시 상록구,,57.99,151730,327191
2024,경기도,안산시 상록구,일동,2.74,11009,22752
2024,경기도,안산시 상록구,이동,2.09,13361,22498
2024,경기도,안산시 상록구,사동,2.34,15227,29292
2024,경기도,안산시 상록구,사이동,3.65,12870,30362
2024,경기도,안산시 상록구,해양동,3.68,15205,39748
2024,경기도,안산시 상록구,본오1동,6.49,17167,34738
2024,경기도,안산시 상록구,본오2동,0.82,10781,24335
2024,경기도,안산시 상록구,본오3동,1.1,8845,18120
2024,경기도,안산시 상록구,부곡동,6.22,9308,20217
2024,경기도,안산시 상록구,월피동,5.55,16743,35574
2024,경기도,안산시 상록구,성포동,1.71,9632,24626
2024,경기도,안산시 상록구,반월동,13.24,7504,16559
2024,경기도,안산시 상록구,안산동,8.36,4078,8370
2024,경기도,안산시 단원구,,98.54,136340,293388
2024,경기도,안산시 단원구,와동,3.23,17260,35711
2024,경기도,안산시 단원구,고잔동,1.75,10016,19918
2024,경기도,안산시 단원구,중앙동,1.87,12430,24288
2024,경기도,안산시 단원구,호수동,2.48,16029,42215
2024,경기도,안산시 단원구,원곡동,1.29,3781,5367
2024,경기도,안산시 단원구,백운동,1.51,9539,24061
2024,경기도,안산시 단원구,신길동,6.83,9679,20787
2024,경기도,안산시 단원구,초지동,24.9,20591,45437
2024,경기도,안산시 단원구,선부1동,0.86,8140,16820
2024,경기도,안산시 단원구,선부2동,2.07,8616,17258
2024,경기도,안산시 단원구,선부3동,5.81,14772,32358
2024,경기도,안산시 단원구,대부동,45.94,5487,9168
2024,경기도,남양주시,,458.13,307424,732482
2024,경기도,남양주시,와부읍,49.87,22891,58146
2024,경기도,남양주시,진접읍,65.96,39787,95374
2024,경기도,남양주시,화도읍,71.49,48616,112518
2024,경기도,남양주시,진건읍,31.22,9702,20236
2024,경기도,남양주시,오남읍,25.26,21721,51163
2024,경기도,남양주시,퇴계원읍,3.27,11536,26960
2024,경기도,남양주시,별내면,22.16,8139,18115
2024,경기도,남양주시,수동면,72.74,4733,8512
2024,경기도,남양주시,조안면,50.67,1938,3792
2024,경기도,남양주시,호평동,9.14,21767,55809
2024,경기도,남양주시,평내동,7.24,14558,37487
2024,경기도,남양주시,금곡동,6.93,8684,17141
2024,경기도,남양주시,양정동,12.36,1474,2413
2024,경기도,남양주시,다산1동,5.54,42059,105470
2024,경기도,남양주시,다산2동,5.63,14244,36533
2024,경기도,남양주시,별내동,18.64,35575,82813
2024,경기도,안양시,,58.5,235171,556492
2024,경기도,안양시 만안구,,36.56,102955,229971
2024,경기도,안양시 만안구,안양1동,0.68,7206,16550
2024,경기도,안양시 만안구,안양2동,2.82,10811,22543
2024,경기도,안양시 만안구,안양3동,1.02,7258,15218
2024,경기도,안양시 만안구,안양4동,0.31,3513,6541
2024,경기도,안양시 만안구,안양5동,0.5,4907,9924
2024,경기도,안양시 만안구,안양6동,1.47,12733,26327
2024,경기도,안양시 만안구,안양7동,1.04,5720,14599
2024,경기도,안양시 만안구,안양8동,1.09,4198,8123
2024,경기도,성남시 분당구,구미1동,2.78,7014,16182
2024,경기도,성남시 분당구,운중동,17.57,13582,37182
2024,경기도,부천시,,53.46,343433,769918
2024,경기도,부천시 원미구,,20.58,174645,389983
2024,경기도,부천시 원미구,심곡1동,0.44,6460,11969
2024,경기도,부천시 원미구,심곡2동,0.64,11207,18326
2024,경기도,부천시 원미구,심곡3동,0.39,5419,10790
2024,경기도,부천시 원미구,원미1동,1.11,7691,16650
2024,경기도,부천시 원미구,원미2동,0.39,5538,11375
2024,경기도,부천시 원미구,소사동,0.55,3103,5945
2024,경기도,부천시 원미구,역곡1동,1.19,6919,16312
2024,경기도,부천시 원미구,역곡2동,1.04,7797,16825
2024,경기도,부천시 원미구,춘의동,2.93,6758,13785
2024,경기도,부천시 원미구,도당동,1.99,9042,20228
2024,경기도,부천시 원미구,약대동,0.7,6835,17153
2024,경기도,부천시 원미구,중동,0.7,9451,21686
2024,경기도,부천시 원미구,중1동,1.41,19252,40709
2024,경기도,부천시 원미구,중2동,0.99,11248,29493
2024,경기도,부천시 원미구,중3동,0.8,10133,22000
2024,경기도,부천시 원미구,중4동,0.65,8268,17228
2024,경기도,부천시 원미구,상동,0.86,8103,17591
2024,경기도,부천시 원미구,상1동,0.57,10147,23674
2024,경기도,부천시 원미구,상2동,1.78,10354,28093
2024,경기도,부천시 원미구,상3동,1.45,10920,30151
2024,경기도,부천시 소사구,,12.83,99148,227911
2024,경기도,부천시 소사구,심곡본1동,0.73,8369,15898
2024,경기도,부천시 소사구,심곡본동,0.98,7552,14500
2024,경기도,부천시 소사구,소사본동,1.97,11944,24961
2024,경기도,부천시 소사구,소사본1동,1.03,11702,28152
2024,경기도,부천시 소사구,범박동,1.13,10055,28378
2024,경기도,부천시 소사구,옥길동,2.92,11409,31309
2024,경기도,부천시 소사구,괴안동,0.67,8203,18315
2024,경기도,부천시 소사구,역곡3동,1.03,10665,21951
2024,경기도,부천시 소사구,송내1동,1.14,8779,20288
2024,경기도,부천시 소사구,송내2동,1.23,10470,24159
2024,경기도,부천시 오정구,,20.05,69640,152024
2024,경기도,부천시 오정구,성곡동,4.56,17059,38239
2024,경기도,부천시 오정구,원종1동,1.42,9433,21342
2024,경기도,부천시 오정구,원종2동,0.61,8672,18509
2024,경기도,부천시 오정구,고강본동,1.56,12248,25537
2024,경기도,부천시 오정구,고강1동,1.99,5827,12523
2024,경기도,부천시 오정구,오정동,6.77,8489,19204
2024,경기도,부천시 오정구,신흥동,3.14,7912,16670
2024,경기도,화성시,,700.77,417136,968821
2024,경기도,화성시,봉담읍,42.72,45127,107073
2024,경기도,화성시,우정읍,61.67,9328,17123
2024,경기도,화성시,향남읍,50.01,40515,85654
2024,경기도,화성시,남양읍,67.41,29668,59873
2024,경기도,화성시,매송면,27.28,3410,6446
2024,경기도,화성시,비봉면,38.54,5228,8829
2024,경기도,화성시,마도면,32.92,3952,6623
2024,경기도,화성시,송산면,58.37,5646,10593
2024,경기도,화성시,서신면,43.5,4095,7178
2024,경기도,화성시,팔탄면,50.97,5931,9411
2024,경기도,화성시,장안면,67.66,5419,9610
2024,경기도,화성시,양감면,31.06,2392,3890
2024,경기도,화성시,정남면,40.68,6042,10621
2024,경기도,화성시,새솔동,3.09,8975,26950
2024,경기도,화성시,진안동,6.2,23267,49829
2024,경기도,화성시,병점1동,1.47,15906,36283
2024,경기도,화성시,병점2동,1.05,8771,22523
2024,경기도,화성시,반월동,3.97,13190,37130
2024,경기도,화성시,기배동,4.25,6094,15922
2024,경기도,화성시,화산동,11.61,12954,27763
2024,경기도,용인시 수지구,,42.11,142381,375351
2024,경기도,용인시 수지구,풍덕천1동,1.94,15694,34797
2024,경기도,용인시 수지구,풍덕천2동,1.47,15396,41320
2024,경기도,용인시 수지구,신봉동,6.7,14740,41248
2024,경기도,용인시 수지구,죽전1동,2.38,10709,28162
2024,경기도,용인시 수지구,죽전2동,1.07,7625,17805
2024,경기도,용인시 수지구,죽전3동,2.08,10801,26441
2024,경기도,용인시 수지구,동천동,16.59,19515,50597
2024,경기도,용인시 수지구,상현1동,0.6,6565,19960
2024,경기도,용인시 수지구,상현2동,1.97,11443,32874
2024,경기도,용인시 수지구,상현3동,2.36,11110,27480
2024,경기도,용인시 수지구,성복동,4.94,18783,54667
2024,경기도,성남시,,141.63,410242,913009
2024,경기도,성남시 수정구,,45.45,116838,234877
2024,경기도,성남시 수정구,신흥1동,0.32,7590,12292
2024,경기도,성남시 수정구,신흥2동,1.14,12249,31411
2024,경기도,성남시 수정구,신흥3동,0.33,6461,10755
2024,경기도,성남시 수정구,태평1동,1.34,8352,13906
2024,경기도,성남시 수정구,태평2동,0.49,7658,14007
2024,경기도,성남시 수정구,태평3동,0.37,6519,11980
2024,경기도,성남시 수정구,태평4동,0.4,6046,11256
2024,경기도,성남시 수정구,수진1동,0.33,6787,11117
2024,경기도,성남시 수정구,수진2동,0.93,7520,14572
2024,경기도,성남시 수정구,단대동,0.8,6508,14351
2024,경기도,성남시 수정구,산성동,0.58,2171,4561
2024,경기도,성남시 수정구,양지동,1.26,4248,9070
2024,경기도,성남시 수정구,복정동,3.55,6576,10192
2024,경기도,성남시 수정구,위례동,3.19,18849,45787
2024,경기도,성남시 수정구,신촌동,5.02,2012,4512
2024,경기도,성남시 수정구,고등동,12.44,5252,11709
2024,경기도,성남시 수정구,시흥동,12.96,2040,3399
2024,경기도,성남시 중원구,,26.41,100556,206978
2024,경기도,성남시 중원구,성남동,1.99,18479,32207
2024,경기도,성남시 중원구,중앙동,0.68,7581,16738
2024,경기도,성남시 중원구,금광1동,0.68,8237,19607
2024,경기도,성남시 중원구,금광2동,1.03,12145,24117
2024,경기도,성남시 중원구,은행1동,0.22,4386,9401
2024,경기도,성남시 중원구,은행2동,2.46,10798,21442
2024,경기도,성남시 중원구,상대원1동,6.84,12146,23768
2024,경기도,성남시 중원구,상대원2동,0.42,1608,3048
2024,경기도,성남시 중원구,상대원3동,0.36,6337,11338
2024,경기도,성남시 중원구,하대원동,2.34,8077,19238
2024,경기도,성남시 중원구,도촌동,9.39,10762,26074
2024,경기도,성남시 분당구,,69.77,192848,471154
2024,경기도,성남시 분당구,분당동,3.4,10054,24497
2024,경기도,성남시 분당구,수내1동,1.03,7837,17801
2024,경기도,성남시 분당구,수내2동,0.81,3203,10455
2024,경기도,성남시 분당구,수내3동,1.05,5118,13300
2024,경기도,성남시 분당구,정자동,1.0,6301,13977
2024,경기도,성남시 분당구,정자1동,1.45,13978,30148
2024,경기도,성남시 분당구,정자2동,0.54,7261,14277
2024,경기도,성남시 분당구,정자3동,1.92,6620,16698
2024,경기도,성남시 분당구,서현1동,7.48,12662,30904
2024,경기도,성남시 분당구,서현2동,0.79,6569,17469
2024,경기도,성남시 분당구,이매1동,2.84,9038,24794
2024,경기도,성남시 분당구,이매2동,0.68,4406,12998
