way_id,highway,name,ref,lanes,maxspeed,oneway,bridge,tunnel,length_m,traffic_match,traffic_match_method,matched_route_name_norm,matched_route_no,vol_mean,vol_min,vol_max,spd_mean,trvlTime_mean,traffic_rows_used,boundary_validation_status,boundary_inside_vertex_count,boundary_outside_vertex_count,boundary_intersects,source_road,source_traffic,traffic_match_original,traffic_observed_match,traffic_inferred,inferred_distance_m
37971056,unclassified,광교산로,,,,,,,1699.01,inferred,inferred_global_median,,,0,0,0,57.511,25.275,305,crossing_boundary,1,48,yes,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping) + inferred(inferred_global_median),no_match,no,yes,
37971212,tertiary,바라산로,,,,,,,300.43,inferred,inferred_nearest_family,덕영대로/오봉로,,0,0,0,17.5,4.5,4,inside,7,0,no,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping) + inferred(inferred_nearest_family),no_match,no,yes,0
37971222,secondary,의일로,,6,,,,,552.56,inferred,inferred_highway_median,,,0,0,0,17.5,4.5,4,inside,12,0,no,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping) + inferred(inferred_highway_median),no_match,no,yes,
40790862,residential,수인로598번길,,,,,,,686.64,inferred,inferred_global_median,,,0,0,0,57.511,25.275,305,crossing_boundary,1,23,yes,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping) + inferred(inferred_global_median),no_match,no,yes,
40839116,residential,부곡시장길,,,,,,,105.38,inferred,inferred_global_median,,,0,0,0,57.511,25.275,305,inside,6,0,no,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping) + inferred(inferred_global_median),no_match,no,yes,
41888498,tertiary,청계로,,,,,,,518.32,inferred,inferred_nearest_family,덕영대로/오봉로,,0,0,0,17.5,4.5,4,inside,15,0,no,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping) + inferred(inferred_nearest_family),no_match,no,yes,0
42120511,residential,,,,,,,,296.89,inferred,inferred_global_median,,,0,0,0,57.511,25.275,305,crossing_boundary,6,1,yes,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping) + inferred(inferred_global_median),no_match,no,yes,
42120523,tertiary,모락로,,8,,,,,83.07,inferred,inferred_nearest_family,덕영대로/오봉로,,0,0,0,17.5,4.5,4,inside,3,0,no,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping) + inferred(inferred_nearest_family),no_match,no,yes,0
48391383,motorway,수도권제1순환고속도로,100,4,100,yes,yes,,115.83,matched,route_name_match,수도권제1순환고속도로,,15.786,0,95,64.928,44.817,542,inside,2,0,no,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping),matched,yes,no,
51066011,motorway,영동고속도로,50,4,100,yes,yes,,98.18,matched,route_name_match,영동고속도로,,1.658,0,71,60.946,51.225,409,inside,2,0,no,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping),matched,yes,no,
51066012,motorway,영동고속도로,50,3,100,yes,yes,,99.06,matched,route_name_match,영동고속도로,,1.658,0,71,60.946,51.225,409,inside,2,0,no,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping),matched,yes,no,
51066039,motorway,영동고속도로,50,3,100,yes,yes,,425.82,matched,route_name_match,영동고속도로,,1.658,0,71,60.946,51.225,409,crossing_boundary,4,1,yes,OpenStreetMap Overpass bbox query,Gyeonggi OpenAPI getRoadTrafficInfoList + getRoadInfoList(routeNo mapping),matched,yes,no,
